gene,gene_name,TATA,class,tail-dependence,expression,Spt7,Taf13,Med15
YJR100C,AIM25,,TFIID,tail-independent,8.202676229,-0.711269412,-2.92436725,0.130161548
YMR234W,RNH1,TATA-less,TFIID,tail-independent,8.200530416,-0.9661006,-3.776671754,-0.042649282
YIL157C,COA1,TATA-less,TFIID,tail-independent,8.196358719,-0.426500054,-3.07002853,0.040496778
YLR439W,MRPL4,TATA-less,TFIID,tail-independent,8.192565734,-1.225565448,-2.096795739,-0.038305955
YHR204W,MNL1,TATA-less,TFIID,tail-independent,8.183468094,-0.875493141,-2.408968512,0.063420291
YPL076W,GPI2,TATA-less,TFIID,tail-independent,8.182716582,-0.811371883,-3.107207476,0.087194622
YPR032W,SRO7,TATA-less,TFIID,tail-independent,8.181516984,-0.703497417,-3.186954092,0.011834141
YPL219W,PCL8,,TFIID,tail-independent,8.171496814,-0.803220286,-2.63192522,0.042725708
YIL019W,FAF1,TATA-less,TFIID,tail-independent,8.171176911,-0.696272558,-2.111675675,0.603918979
YOR156C,NFI1,,TFIID,tail-independent,8.170818118,-0.907635563,-2.158439781,-0.107675518
YOR037W,CYC2,TATA-less,TFIID,tail-independent,8.168441458,-0.723784616,-2.79437716,0.164055894
YBR214W,SDS24,TATA-less,TFIID,tail-independent,8.167442217,-1.148949595,-1.980478697,-0.34845636
YIL096C,BMT5,TATA-less,TFIID,tail-independent,8.163661242,-0.706245617,-3.79060918,0.515243691
YJL162C,JJJ2,TATA-less,TFIID,tail-independent,8.158435466,-0.395413743,-3.237516965,0.534929332
YGL119W,COQ8,TATA-less,TFIID,tail-independent,8.151372604,-1.278703385,-2.614342708,0.158495819
YPR120C,CLB5,TATA-less,TFIID,tail-independent,8.146836169,-1.184726601,-2.85356678,0.241282938
YDR252W,BTT1,TATA-less,TFIID,tail-independent,8.141610978,-1.149163399,-2.361480493,0.333423734
YKL134C,1-Oct,TATA-less,TFIID,tail-independent,8.127784597,-1.032012855,-2.550692924,0.05580958
YIR005W,IST3,,TFIID,tail-independent,8.126622758,0.128804099,-3.687275876,0.715327945
YGR238C,KEL2,TATA-less,TFIID,tail-independent,8.126328433,-2.655586602,-3.216265696,-0.270517656
YJL099W,CHS6,TATA-less,TFIID,tail-independent,8.123505051,-1.174747204,-2.086036867,0.100231039
YPR083W,MDM36,TATA-less,TFIID,tail-independent,8.113372906,0.013399828,-2.045675388,0.303015405
YOL107W,YOL107W,,TFIID,tail-independent,8.107276321,-1.444737641,-2.536568726,-0.076403728
YDR268W,MSW1,TATA-less,TFIID,tail-independent,8.102809575,-0.980823403,-2.717764575,0.231721388
YLR408C,BLS1,,TFIID,tail-independent,8.102147364,-0.402363254,-2.585952752,0.047165108
YBR252W,DUT1,TATA-containing,TFIID,tail-independent,8.1000497,-0.794877198,-2.39803531,0.136068125
YIL159W,BNR1,TATA-less,TFIID,tail-independent,8.098161112,-0.793410001,-3.162415862,0.044412506
YDL237W,AIM6,,TFIID,tail-independent,8.095755987,-0.645619915,-2.671243424,-0.237638582
YNL035C,YNL035C,TATA-less,TFIID,tail-independent,8.095592512,-1.034462692,-3.49984309,0.158775593
YER079W,YER079W,TATA-less,TFIID,tail-independent,8.093523881,-0.377133459,-2.423560336,0.425834145
YOR148C,SPP2,TATA-less,TFIID,tail-independent,8.089159084,-0.854968428,-3.287011536,0.190500699
YBR258C,SHG1,TATA-less,TFIID,tail-independent,8.085012868,-0.713325896,-2.684498858,0.426632503
YGL016W,KAP122,TATA-less,TFIID,tail-independent,8.082595074,-0.488328438,-1.023617398,0.390228045
YLR382C,NAM2,TATA-containing,TFIID,tail-independent,8.082518596,-0.914925897,-2.596105734,-0.126205469
YJR084W,YJR084W,TATA-less,TFIID,tail-independent,8.073957028,-0.875503397,-2.324256391,0.215746849
YJL062W,LAS21,,TFIID,tail-independent,8.069918849,-0.651232987,-2.879301889,-0.047784682
YEL072W,RMD6,TATA-less,TFIID,tail-independent,8.052265305,-1.721610658,-0.732123529,0.355587761
YBR235W,VHC1,,TFIID,tail-independent,8.04634772,-0.967521133,-2.582816102,-0.019999687
YIL156W,UBP7,,TFIID,tail-independent,8.040586223,-0.659469859,-2.466570797,0.11988844
YDL105W,NSE4,TATA-less,TFIID,tail-independent,8.037702881,-0.814631759,-2.203813357,0.10578092
YGL064C,MRH4,TATA-less,TFIID,tail-independent,8.027057484,-0.811761183,-2.640608309,0.239687917
YJL063C,MRPL8,TATA-less,TFIID,tail-independent,7.999022795,-1.554508538,-2.685717079,-0.002746683
YIR026C,YVH1,,TFIID,tail-independent,7.997396282,-1.099229635,-3.812632413,0.4923335
YLR207W,HRD3,TATA-less,TFIID,tail-independent,7.996707656,-0.605569267,-2.593992815,0.020526855
YJR113C,RSM7,TATA-less,TFIID,tail-independent,7.995003964,-1.139776882,-2.469830111,0.058428433
YMR127C,SAS2,TATA-less,TFIID,tail-independent,7.994304905,-0.663555096,-2.771231702,0.182812921
YPL172C,COX10,,TFIID,tail-independent,7.99120926,-0.841443292,-1.891777527,0.141610902
YCL029C,BIK1,TATA-less,TFIID,tail-independent,7.980486959,-0.944811752,-2.206804661,0.146212037
YPR046W,MCM16,TATA-less,TFIID,tail-independent,7.974481318,-1.192262361,-2.010225009,0.507198358
YML119W,YML119W,TATA-less,TFIID,tail-independent,7.973636373,-1.12327176,-2.342089771,0.246507395
YLR375W,STP3,TATA-less,TFIID,tail-independent,7.972152199,-1.545655493,-2.183892032,-0.098438908
YBR136W,MEC1,TATA-less,TFIID,tail-independent,7.959522433,-0.380779327,-2.643475515,0.226148645
YDR110W,FOB1,TATA-less,TFIID,tail-independent,7.955175658,-0.72514662,-2.086917033,0.110724557
YOR077W,RTS2,TATA-less,TFIID,tail-independent,7.954822968,-0.792312026,-2.971148915,-0.005506476
YLR240W,VPS34,TATA-less,TFIID,tail-independent,7.954088993,-0.436202821,-2.39838919,0.004511184
